epoch,step,train_loss,val_loss
0,49,38.521514892578125,
0,99,38.92384719848633,
0,149,26.434450149536133,
0,199,31.889102935791016,
0,249,28.5791015625,
0,250,,30.8007755279541
1,299,26.59799575805664,
1,349,22.732872009277344,
1,399,23.286314010620117,
1,449,21.24825668334961,
1,499,21.912384033203125,
1,501,,30.607494354248047
2,549,27.15780258178711,
2,599,25.28414535522461,
2,649,26.79161834716797,
2,699,32.99247741699219,
2,749,26.138044357299805,
2,752,,29.246049880981445
3,799,25.284875869750977,
3,849,23.043903350830078,
3,899,25.240806579589844,
3,949,31.383459091186523,
3,999,26.085845947265625,
3,1003,,27.822568893432617
4,1049,22.779905319213867,
4,1099,22.223907470703125,
4,1149,42.677330017089844,
4,1199,27.61338996887207,
4,1249,33.827415466308594,
4,1254,,27.05491828918457
5,1299,33.635799407958984,
5,1349,23.022274017333984,
5,1399,26.028240203857422,
5,1449,34.45701599121094,
5,1499,19.22447967529297,
5,1505,,27.87931251525879
6,1549,22.965246200561523,
6,1599,34.95238494873047,
6,1649,26.0263671875,
6,1699,23.61162757873535,
6,1749,26.646556854248047,
6,1756,,26.084680557250977
7,1799,19.06793785095215,
7,1849,25.84969139099121,
7,1899,22.789167404174805,
7,1949,23.371931076049805,
7,1999,23.23324966430664,
7,2007,,26.448883056640625
8,2049,20.1187801361084,
8,2099,25.102825164794922,
8,2149,25.514678955078125,
8,2199,26.220054626464844,
8,2249,25.149587631225586,
8,2258,,27.28458023071289
9,2299,22.392803192138672,
9,2349,27.306358337402344,
9,2399,31.580623626708984,
9,2449,29.53154182434082,
9,2499,36.49308776855469,
9,2509,,26.601619720458984
10,2549,20.79598617553711,
10,2599,23.008806228637695,
10,2649,27.89788055419922,
10,2699,25.12493324279785,
10,2749,28.524953842163086,
10,2760,,25.796451568603516
11,2799,20.884572982788086,
11,2849,24.156288146972656,
11,2899,26.59298324584961,
11,2949,30.923524856567383,
11,2999,28.471094131469727,
11,3011,,24.52688217163086
12,3049,18.853416442871094,
12,3099,28.097719192504883,
12,3149,30.635211944580078,
12,3199,18.63549041748047,
12,3249,34.93975830078125,
12,3262,,24.707733154296875
13,3299,25.641908645629883,
13,3349,28.74212074279785,
13,3399,21.30029296875,
13,3449,18.56992530822754,
13,3499,19.85589027404785,
13,3513,,26.098285675048828
14,3549,26.29650115966797,
14,3599,26.476125717163086,
14,3649,28.070241928100586,
14,3699,29.62619400024414,
14,3749,23.011201858520508,
14,3764,,26.638397216796875
15,3799,35.21038055419922,
15,3849,24.35970115661621,
15,3899,34.14634323120117,
15,3949,24.29496955871582,
15,3999,24.03961181640625,
15,4015,,25.858373641967773
16,4049,22.63275146484375,
16,4099,21.81889533996582,
16,4149,20.541284561157227,
16,4199,25.61277961730957,
16,4249,27.18254852294922,
16,4266,,26.219524383544922
17,4299,22.065479278564453,
17,4349,23.553470611572266,
17,4399,22.710113525390625,
17,4449,25.424320220947266,
17,4499,23.47629165649414,
17,4517,,26.415748596191406
18,4549,28.330411911010742,
18,4599,15.434523582458496,
18,4649,24.94808578491211,
18,4699,26.080223083496094,
18,4749,23.056665420532227,
18,4768,,23.80641746520996
19,4799,21.545480728149414,
19,4849,42.004844665527344,
19,4899,24.6690731048584,
19,4949,16.94620132446289,
19,4999,28.6358699798584,
19,5019,,23.794891357421875
20,5049,23.558115005493164,
20,5099,21.44286346435547,
20,5149,18.998226165771484,
20,5199,21.790307998657227,
20,5249,17.315473556518555,
20,5270,,22.705951690673828
21,5299,23.528839111328125,
21,5349,21.61682891845703,
21,5399,27.030384063720703,
21,5449,24.305091857910156,
21,5499,22.423067092895508,
21,5521,,24.932538986206055
22,5549,32.861480712890625,
22,5599,27.125547409057617,
22,5649,23.377197265625,
22,5699,21.035959243774414,
22,5749,29.23446273803711,
22,5772,,21.893789291381836
23,5799,25.345359802246094,
23,5849,18.240095138549805,
23,5899,18.579856872558594,
23,5949,21.226728439331055,
23,5999,37.42931365966797,
23,6023,,22.0635929107666
24,6049,20.73654556274414,
24,6099,27.921812057495117,
24,6149,23.316377639770508,
24,6199,23.95892333984375,
24,6249,24.862661361694336,
24,6274,,21.229272842407227
25,6299,21.132598876953125,
25,6349,22.354642868041992,
25,6399,30.560258865356445,
25,6449,18.108135223388672,
25,6499,18.06788444519043,
25,6525,,20.539552688598633
26,6549,20.253110885620117,
26,6599,17.01866340637207,
26,6649,19.643959045410156,
26,6699,25.32440948486328,
26,6749,22.314929962158203,
26,6776,,20.169904708862305
27,6799,20.747270584106445,
27,6849,18.771244049072266,
27,6899,20.73051643371582,
27,6949,25.821273803710938,
27,6999,24.73056411743164,
27,7027,,20.80290412902832
28,7049,17.686307907104492,
28,7099,17.256732940673828,
28,7149,25.1390380859375,
28,7199,22.163028717041016,
28,7249,20.51380157470703,
28,7278,,19.633272171020508
29,7299,14.977526664733887,
29,7349,18.070756912231445,
29,7399,19.321231842041016,
29,7449,20.25291633605957,
29,7499,19.74092674255371,
29,7529,,19.373802185058594
30,7549,18.80265998840332,
30,7599,18.23064422607422,
30,7649,25.44190216064453,
