epoch,step,train_loss,val_loss
0,49,27.590173721313477,
0,99,16.92420768737793,
0,149,9.361260414123535,
0,199,10.079719543457031,
0,249,3.4871561527252197,
0,250,,6.01206636428833
1,299,3.925419569015503,
1,349,2.958834648132324,
1,399,4.456991195678711,
1,449,3.288810968399048,
1,499,3.00571870803833,
1,501,,4.810878276824951
2,549,2.977450132369995,
2,599,2.6489739418029785,
2,649,4.832252502441406,
2,699,5.825684547424316,
2,749,3.5076379776000977,
2,752,,4.618752479553223
3,799,3.398850679397583,
3,849,2.5472400188446045,
3,899,3.766064405441284,
3,949,4.15023136138916,
3,999,3.879720687866211,
3,1003,,3.9123852252960205
4,1049,2.6337058544158936,
4,1099,2.8002781867980957,
4,1149,8.739179611206055,
4,1199,3.813934087753296,
4,1249,5.472865581512451,
4,1254,,3.8212194442749023
5,1299,4.260261535644531,
5,1349,2.839993476867676,
5,1399,2.9262044429779053,
5,1449,2.9261653423309326,
5,1499,3.0584070682525635,
5,1505,,3.5155866146087646
6,1549,2.595519542694092,
6,1599,4.357741832733154,
6,1649,2.5588784217834473,
6,1699,3.4677133560180664,
6,1749,3.3945887088775635,
6,1756,,3.6258044242858887
7,1799,2.0602962970733643,
7,1849,3.5984394550323486,
7,1899,2.9745523929595947,
7,1949,2.292731285095215,
7,1999,2.44921875,
7,2007,,2.9484591484069824
8,2049,1.6947946548461914,
8,2099,3.4207024574279785,
8,2149,2.531480312347412,
8,2199,2.620513677597046,
8,2249,2.8842580318450928,
8,2258,,2.845574378967285
9,2299,1.947243094444275,
9,2349,2.1863067150115967,
9,2399,2.764842987060547,
9,2449,3.2337114810943604,
9,2499,2.608837366104126,
9,2509,,2.2980148792266846
10,2549,1.994989037513733,
10,2599,2.5179431438446045,
10,2649,3.1313347816467285,
10,2699,3.1270508766174316,
10,2749,5.860233783721924,
10,2760,,10.525444984436035
11,2799,2.827012062072754,
11,2849,3.8726792335510254,
11,2899,3.816506862640381,
11,2949,4.203705787658691,
11,2999,3.7178993225097656,
11,3011,,3.009258270263672
12,3049,1.868728518486023,
12,3099,2.0595083236694336,
12,3149,4.709676265716553,
12,3199,1.6040542125701904,
12,3249,4.579224109649658,
12,3262,,2.4512951374053955
13,3299,2.7146072387695312,
13,3349,3.290849447250366,
13,3399,2.1417744159698486,
13,3449,1.8022381067276,
13,3499,1.640141248703003,
13,3513,,2.2855701446533203
14,3549,2.5918099880218506,
14,3599,2.105565071105957,
14,3649,2.5713682174682617,
14,3699,3.4628403186798096,
14,3749,2.441948652267456,
14,3764,,2.079962730407715
15,3799,2.406794786453247,
15,3849,2.0974209308624268,
